lat,lon,pickup_cluster
12.17,-144.68,3
12.34,-145.3,3
12.69,-146.52,3
13.04,-147.75,3
13.38,-148.98,3
13.62,-149.8,3
13.72,-150.22,3
14.01,-151.47,3
14.31,-152.73,3
14.6,-153.99,3
14.8,-154.83,3
14.9,-155.25,3
15.18,-156.52,3
15.47,-157.78,3
15.76,-159.05,3
15.98,-159.88,3
16.08,-160.31,3
16.37,-161.59,3
16.66,-162.87,3
16.94,-164.15,3
17.18,-165.22,3
17.23,-165.43,3
17.51,-166.71,3
17.6,-167.13,3
17.6,-167.13,3
17.6,-167.13,3
17.6,-167.13,3
17.6,-167.13,3
17.6,-167.13,3
17.6,-167.13,3
17.6,-167.13,3
17.64,-167.32,3
17.87,-168.25,3
17.91,-168.44,3
18.16,-169.56,3
18.41,-170.68,3
18.66,-171.81,3
18.87,-172.75,3
18.91,-172.94,3
19.17,-174.07,3
19.44,-175.21,3
19.7,-176.35,3
19.92,-177.3,3
19.96,-177.49,3
20.22,-178.64,3
20.47,-179.78,3
20.73,179.07,8
20.98,177.92,8
21.25,176.74,8
21.51,175.56,8
21.77,174.38,8
22.03,173.2,8
22.31,171.97,8
22.58,170.73,8
22.86,169.49,8
23.13,168.25,8
23.39,167.06,8
23.65,165.87,8
23.91,164.68,8
24.17,163.48,8
24.22,163.28,8
24.46,162.17,8
24.75,160.84,8
24.78,160.68,8
24.78,160.68,8
24.78,160.68,8
24.78,160.68,8
24.78,160.68,8
24.78,160.68,8
24.83,160.46,8
25.12,159.12,8
25.42,157.77,8
25.47,157.55,8
25.56,156.48,8
25.56,155.19,8
25.45,153.9,8
25.34,152.61,8
25.3,152.18,8
25.26,151.31,8
25.2,150.01,8
25.13,148.7,8
25.07,147.4,8
25.05,146.97,8
25.02,146.07,8
25.13,144.73,8
25.33,143.4,0
25.53,142.06,0
25.6,141.62,0
25.73,140.8,0
25.93,139.57,0
26.12,138.33,0
26.32,137.1,0
26.58,136.55,0
26.84,136.09,0
27.37,135.17,0
27.89,134.25,0
27.92,134.2,0
27.92,134.2,0
27.92,134.2,0
27.92,134.2,0
27.92,134.2,0
28.01,134.04,0
28.7,132.86,0
29.39,131.67,0
29.73,131.07,0
29.99,130.44,0
30.69,129.32,0
31.44,128.23,0
32.19,127.12,0
32.68,126.38,0
32.89,126.01,0
33.52,124.87,0
34.15,123.73,0
34.68,122.51,0
34.95,121.65,0
34.95,121.18,0
34.97,120.02,0
0.05,117.67,5
0.14,117.83,5
0.67,118.8,5
1.53,119.27,5
2.27,119.33,5
2.65,119.38,5
3.79,119.51,5
4.93,119.61,5
6.04,119.85,5
6.8,119.97,5
7.17,120.04,5
7.42,120.08,5
7.42,120.08,5
7.42,120.08,5
7.42,120.08,5
7.42,120.08,5
7.42,120.08,5
7.42,120.08,5
