,pickup_cluster,lat,lon
16354,5,1.57,119.45
16355,5,2.42,119.51
16356,5,2.81,119.54
16357,5,3.98,119.63
16358,5,5.16,119.68
16359,5,6.3,119.98
16360,5,7.05,120.2
16361,5,7.42,120.32
16362,5,8.53,120.6
16363,5,9.68,120.6
16364,0,10.84,120.53
16365,0,11.59,120.62
16366,0,11.96,120.76
16367,0,12.96,120.05
16368,0,14.14,119.72
16369,0,15.36,119.58
16370,0,16.18,119.52
16371,0,16.59,119.65
16372,0,17.83,120.01
16373,0,19.08,120.38
16374,0,20.32,120.76
16375,0,21.15,121.01
16376,0,21.5,121.12
16377,0,22.51,121.55
16378,0,23.57,121.84
16379,0,24.59,122.23
16380,0,25.25,122.57
16381,0,25.6,122.7
16382,0,26.69,122.94
16383,0,27.79,123.09
16384,0,28.91,123.0
16385,0,29.64,122.92
16386,0,29.71,122.48
16387,0,29.75,122.32
16388,0,29.68,122.58
16389,0,30.72,122.94
16390,0,31.1,122.79
16391,2,13.17,80.45
16392,2,13.02,80.58
16393,2,11.98,81.06
16394,2,10.86,81.38
16395,2,9.73,81.7
16396,2,8.61,82.01
16397,2,8.52,82.03
16398,2,7.6,82.25
16399,2,6.57,82.1
16400,2,5.77,81.47
16401,2,5.05,80.72
16402,2,4.93,80.6
16403,2,4.27,79.92
16404,2,3.48,79.1
16405,2,2.69,78.28
16406,2,1.9,77.45
16407,2,1.77,77.32
16408,2,1.12,76.65
16409,2,0.36,75.85
16410,2,-0.41,75.05
16411,2,-1.17,74.25
16412,2,-1.3,74.12
16413,2,-1.97,73.42
16414,2,-2.78,72.58
16415,2,-3.59,71.73
16416,2,-4.4,70.89
16417,2,-4.53,70.75
16418,2,-5.2,70.05
16419,2,-5.99,69.22
16420,2,-6.79,68.38
16421,2,-7.59,67.55
16422,2,-7.85,67.27
16423,2,-8.39,66.7
16424,2,-9.21,65.84
16425,2,-10.02,64.98
16426,2,-10.82,64.11
16427,2,-11.08,63.82
16428,2,-11.63,63.21
16429,2,-12.46,62.31
16430,2,-13.28,61.4
16431,2,-14.11,60.49
16432,2,-14.38,60.18
16433,2,-14.94,59.57
16434,6,-15.78,58.63
16435,6,-16.62,57.69
16436,6,-17.45,56.75
16437,6,-17.73,56.43
16438,6,-18.28,55.82
16439,6,-19.11,54.88
16440,6,-19.93,53.95
16441,6,-20.75,53.01
16442,6,-21.17,52.53
16443,6,-21.55,52.09
16444,6,-22.32,51.2
16445,6,-23.08,50.31
16446,6,-23.85,49.42
16447,6,-24.23,48.97
16448,6,-24.65,48.47
16449,6,-25.48,47.48
16450,6,-26.32,46.48
16451,6,-27.02,45.37
16452,6,-27.28,44.75
16453,6,-27.54,44.09
16454,6,-28.06,42.77
16455,6,-28.59,41.44
16456,6,-29.11,40.1
16457,6,-29.37,39.43
16458,6,-29.61,38.81
16459,6,-30.09,37.56
16460,6,-30.58,36.31
16461,6,-31.06,35.05
16462,6,-31.38,34.2
16463,6,-31.49,33.91
16464,6,-31.82,33.06
16465,6,-32.14,32.2
16466,6,-32.47,31.33
16467,6,-32.68,30.75
16468,6,-32.8,30.44
16469,6,-33.15,29.52
16470,6,-33.49,28.6
16471,6,-33.81,27.65
16472,6,-33.97,27.0
16473,6,-34.06,26.6
16474,6,-34.36,25.4
16475,1,-34.56,24.17
16476,1,-34.71,22.92
16477,1,-34.8,22.08
16478,1,-34.82,21.7
16479,1,-34.89,20.53
16480,1,-34.95,19.37
16481,1,-34.96,18.15
16482,1,-34.92,17.3
16483,1,-34.9,16.89
16484,1,-34.86,15.68
16485,1,-34.82,14.46
16486,1,-34.78,13.25
16487,1,-34.75,12.23
16488,1,-34.74,12.03
16489,1,-34.7,10.84
16490,1,-34.66,9.65
16491,1,-34.61,8.46
16492,1,-34.57,7.47
16493,1,-34.56,7.25
16494,1,-34.51,5.92
16495,1,-34.46,4.6
16496,1,-34.41,3.27
16497,1,-34.35,1.95
16498,1,-34.3,0.65
16499,1,-34.25,-0.64
16500,1,-34.2,-1.94
16501,1,-34.15,-3.23
16502,1,-34.1,-4.51
16503,1,-34.05,-5.79
16504,1,-34.0,-7.06
16505,1,-33.95,-8.33
16506,1,-33.91,-9.42
16507,1,-33.87,-10.51
16508,1,-33.83,-11.6
16509,4,-33.79,-12.69
16510,4,-33.78,-12.87
16511,4,-33.74,-13.85
16512,4,-33.7,-15.03
16513,4,-33.65,-16.21
16514,4,-33.61,-17.39
16515,4,-33.6,-17.58
16516,4,-33.56,-18.59
16517,4,-33.52,-19.8
16518,4,-33.47,-21.01
16519,4,-33.42,-22.22
16520,4,-33.42,-22.42
16521,4,-33.37,-23.6
16522,4,-33.31,-25.02
16523,4,-33.25,-26.44
16524,4,-33.2,-27.86
16525,4,-33.18,-28.33
16526,4,-33.15,-29.14
16527,4,-33.1,-30.36
16528,4,-33.05,-31.57
16529,4,-33.0,-32.78
16530,4,-32.98,-33.18
16531,4,-32.95,-33.98
16532,4,-32.91,-35.17
16533,4,-32.87,-36.36
16534,4,-32.82,-37.55
16535,4,-32.8,-37.95
16536,4,-32.76,-38.9
16537,4,-32.71,-40.31
16538,4,-32.66,-41.73
16539,4,-32.6,-43.14
16540,4,-32.57,-43.85
16541,4,-32.54,-44.62
16542,4,-32.48,-46.16
16543,4,-32.42,-47.71
16544,4,-32.36,-49.25
16545,4,-32.33,-50.02
16546,4,-32.31,-50.77
